search_string,room_name,day,start,end,subject,AV
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-118,Thursday,16:15,17:15,ABPL30046,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-237,Thursday,17:15,18:15,ABPL30046,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-139,Monday,13:00,14:00,ABPL30049,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-215,Tuesday,14:00,15:00,ABPL30049,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-237,Tuesday,09:00,10:00,ABPL30050,False
David Caro,PAR-David Caro-Podium 209,Tuesday,10:00,11:00,ABPL30050,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-213,Tuesday,11:00,12:00,ABPL30050,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-140,Tuesday,11:00,12:00,ABPL30050,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-137,Tuesday,15:15,16:15,ABPL30050,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-448,Wednesday,12:00,13:00,ABPL30050,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-138,Wednesday,12:00,13:00,ABPL30050,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-244,Wednesday,12:00,13:00,ABPL30050,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-238,Wednesday,13:00,14:00,ABPL30050,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-125,Wednesday,13:00,14:00,ABPL30050,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-226,Wednesday,13:00,14:00,ABPL30050,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-140,Wednesday,16:15,17:15,ABPL30050,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-448,Friday,09:00,10:00,ABPL30050,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-125,Friday,09:00,10:00,ABPL30050,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-448,Friday,10:00,11:00,ABPL30050,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-125,Friday,10:00,11:00,ABPL30050,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-448,Friday,11:00,12:00,ABPL30050,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-142,Friday,11:00,12:00,ABPL30050,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-227,Friday,11:00,12:00,ABPL30050,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-142,Friday,12:00,13:00,ABPL30050,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-139,Friday,12:00,13:00,ABPL30050,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-140,Friday,13:00,14:00,ABPL30050,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-449,Friday,15:15,16:15,ABPL30050,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-141,Friday,15:15,16:15,ABPL30050,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-238,Friday,15:15,16:15,ABPL30050,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-238,Friday,16:15,17:15,ABPL30050,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-141,Friday,16:15,17:15,ABPL30050,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-236,Thursday,12:15,14:15,ABPL30051,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-139,Thursday,12:15,14:15,ABPL30051,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-215,Thursday,12:15,14:15,ABPL30051,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-G23 (Workshop),Thursday,13:00,14:00,ABPL30053,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-239,Thursday,14:15,15:15,ABPL30053,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-244,Thursday,16:15,17:15,ABPL30053,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-140,Thursday,16:15,17:15,ABPL30053,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-314,Thursday,17:15,18:15,ABPL30053,True
Redmond Barry,PAR-Redmond Barry-1006,Thursday,18:15,19:15,ABPL30053,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-144,Friday,12:00,13:00,ABPL30053,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-244,Friday,13:00,14:00,ABPL30053,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-244,Friday,14:15,15:15,ABPL30053,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-146,Monday,13:00,14:00,ABPL30055,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-146,Monday,14:15,15:15,ABPL30055,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-146,Monday,15:15,16:15,ABPL30055,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-144,Monday,16:15,17:15,ABPL30055,False
Baldwin Spencer,PAR-Baldwin Spencer-109 (English Room),Thursday,14:15,16:15,ABPL30059,True
Baldwin Spencer,PAR-Baldwin Spencer-109 (English Room),Thursday,16:15,18:15,ABPL30059,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-237,Monday,09:00,12:00,ABPL30067,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-227,Monday,09:00,12:00,ABPL30067,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-125,Wednesday,09:00,12:00,ABPL30067,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-137,Thursday,10:00,13:00,ABPL30067,False
David Caro,PAR-David Caro-Podium 210,Tuesday,18:15,20:15,ABPL30069,False
David Caro,PAR-David Caro-Podium 210,Thursday,17:15,19:15,ABPL30069,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-121,Thursday,18:15,20:15,ABPL30069,True
Baldwin Spencer,PAR-Baldwin Spencer-109 (English Room),Friday,09:00,11:00,ABPL30069,True
Old Quad,PAR-Old Quad-G10,Tuesday,19:15,20:15,ABPL90010,True
David Caro,PAR-David Caro-Podium 201,Tuesday,19:15,20:15,ABPL90010,False
David Caro,PAR-David Caro-Podium 205,Tuesday,19:15,20:15,ABPL90010,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-124,Tuesday,19:15,20:15,ABPL90010,True
Old Quad,PAR-Old Quad-G10,Tuesday,20:15,21:15,ABPL90010,False
David Caro,PAR-David Caro-Podium 201,Tuesday,20:15,21:15,ABPL90010,False
David Caro,PAR-David Caro-Podium 205,Tuesday,20:15,21:15,ABPL90010,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-124,Tuesday,20:15,21:15,ABPL90010,True
780 Elizabeth St,PAR-780 Elizabeth St-110,Thursday,16:15,17:15,ABPL90016,False
Old Metallurgy,PAR-Old Metallurgy-103 (Room 1),Thursday,17:15,18:15,ABPL90016,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-314,Tuesday,16:15,17:45,ABPL90017,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-137,Tuesday,16:15,17:45,ABPL90017,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-227,Tuesday,16:15,17:45,ABPL90017,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-238,Tuesday,16:15,17:45,ABPL90017,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-238,Wednesday,09:30,11:00,ABPL90017,False
McCoy,PAR-McCoy-218 (Gregory Room),Monday,16:15,20:15,ABPL90020,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-146,Thursday,15:15,16:15,ABPL90026,False
Alice Hoy,PAR-Alice Hoy-242,Thursday,17:15,18:15,ABPL90026,False
Alan Gilbert,PAR-Alan Gilbert-102,Thursday,17:15,18:15,ABPL90026,False
Alice Hoy,PAR-Alice Hoy-332,Thursday,18:15,19:15,ABPL90026,False
Alice Hoy,PAR-Alice Hoy-242,Thursday,18:15,19:15,ABPL90026,True
Elisabeth Murdoch,PAR-Elisabeth Murdoch-G04,Thursday,19:15,20:15,ABPL90026,False
Alice Hoy,PAR-Alice Hoy-332,Thursday,19:15,20:15,ABPL90026,True
Arts West North Wing,PAR-Arts West North Wing-461,Friday,19:15,20:15,ABPL90034,True
Arts West North Wing,PAR-Arts West North Wing-354,Friday,19:15,20:15,ABPL90034,True
David Caro,PAR-David Caro-Podium 208,Wednesday,11:00,12:00,ABPL90041,True
David Caro,PAR-David Caro-Podium 210,Wednesday,12:00,13:00,ABPL90041,False
Doug McDonell,PAR-Doug McDonell-402,Wednesday,18:15,19:15,ABPL90041,True
David Caro,PAR-David Caro-Podium 201,Wednesday,19:15,20:15,ABPL90041,False
David Caro,PAR-David Caro-Podium 205,Thursday,18:15,19:15,ABPL90041,True
Old Arts,PAR-Old Arts-205,Monday,18:15,19:15,ABPL90056,True
Old Arts,PAR-Old Arts-152,Monday,18:15,19:15,ABPL90056,False
Old Arts,PAR-Old Arts-254,Monday,19:15,20:15,ABPL90056,False
Old Arts,PAR-Old Arts-152,Monday,19:15,20:15,ABPL90056,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-241,Monday,15:15,18:15,ABPL90061,False
Redmond Barry,PAR-Redmond Barry-1006,Monday,12:00,13:00,ABPL90065,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-144,Monday,12:00,13:00,ABPL90065,True
Alan Gilbert,PAR-Alan Gilbert-G18,Monday,13:00,14:00,ABPL90065,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-142,Monday,14:00,15:00,ABPL90065,True
Redmond Barry,PAR-Redmond Barry-1006,Friday,10:00,12:00,ABPL90077,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-228,Friday,10:00,12:00,ABPL90077,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-448,Friday,12:00,14:00,ABPL90077,False
Redmond Barry,PAR-Redmond Barry-1007,Thursday,11:00,13:00,ABPL90078,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-125,Thursday,11:00,13:00,ABPL90078,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-226,Thursday,13:15,15:15,ABPL90078,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-241,Thursday,15:15,17:15,ABPL90078,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-226,Thursday,15:15,17:15,ABPL90078,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-246,Wednesday,09:00,11:00,ABPL90086,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-246,Wednesday,11:00,13:00,ABPL90086,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-246,Wednesday,13:00,15:00,ABPL90086,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-246,Wednesday,15:15,17:15,ABPL90086,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-246,Wednesday,17:15,19:15,ABPL90086,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-246,Wednesday,19:15,21:15,ABPL90086,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-129,Thursday,12:00,14:00,ABPL90086,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-129,Thursday,15:15,17:15,ABPL90086,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-244,Monday,11:00,12:00,ABPL90089,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-241,Monday,12:00,13:00,ABPL90089,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-241,Monday,13:00,14:00,ABPL90089,False
Redmond Barry,PAR-Redmond Barry-1007,Monday,15:15,18:15,ABPL90114,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-449,Wednesday,17:15,19:15,ABPL90118,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-117,Wednesday,17:15,19:15,ABPL90118,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-125,Wednesday,17:15,19:15,ABPL90118,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-137,Wednesday,17:15,19:15,ABPL90118,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-227,Wednesday,17:15,19:15,ABPL90118,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-228,Wednesday,17:15,19:15,ABPL90118,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-237,Wednesday,17:15,19:15,ABPL90118,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-238,Wednesday,17:15,19:15,ABPL90118,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-239,Wednesday,17:15,19:15,ABPL90118,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-241,Wednesday,17:15,19:15,ABPL90118,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-314,Wednesday,17:15,19:15,ABPL90118,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-449,Wednesday,19:15,21:15,ABPL90118,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-117,Wednesday,19:15,21:15,ABPL90118,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-125,Wednesday,19:15,21:15,ABPL90118,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-137,Wednesday,19:15,21:15,ABPL90118,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-227,Wednesday,19:15,21:15,ABPL90118,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-228,Wednesday,19:15,21:15,ABPL90118,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-237,Wednesday,19:15,21:15,ABPL90118,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-238,Wednesday,19:15,21:15,ABPL90118,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-239,Wednesday,19:15,21:15,ABPL90118,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-241,Wednesday,19:15,21:15,ABPL90118,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-314,Wednesday,19:15,21:15,ABPL90118,False
Redmond Barry,PAR-Redmond Barry-719,Monday,18:15,19:15,ABPL90130,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-118,Monday,18:15,19:15,ABPL90130,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-124,Monday,18:15,19:15,ABPL90130,True
Redmond Barry,PAR-Redmond Barry-615,Monday,18:15,19:15,ABPL90130,False
Redmond Barry,PAR-Redmond Barry-718,Monday,18:15,19:15,ABPL90130,True
Redmond Barry,PAR-Redmond Barry-719,Monday,19:15,20:15,ABPL90130,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-118,Monday,19:15,20:15,ABPL90130,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-124,Monday,19:15,20:15,ABPL90130,True
Redmond Barry,PAR-Redmond Barry-615,Monday,19:15,20:15,ABPL90130,False
Redmond Barry,PAR-Redmond Barry-718,Monday,19:15,20:15,ABPL90130,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-124,Monday,20:15,21:15,ABPL90130,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-118,Monday,20:15,21:15,ABPL90130,True
Redmond Barry,PAR-Redmond Barry-615,Wednesday,18:15,19:15,ABPL90134,False
Redmond Barry,PAR-Redmond Barry-1005,Wednesday,18:15,19:15,ABPL90134,False
Redmond Barry,PAR-Redmond Barry-1006,Wednesday,18:15,19:15,ABPL90134,False
Redmond Barry,PAR-Redmond Barry-1007,Wednesday,18:15,19:15,ABPL90134,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-144,Wednesday,18:15,19:15,ABPL90134,True
David Caro,PAR-David Caro-Podium 210,Wednesday,18:15,19:15,ABPL90134,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-244,Thursday,09:00,10:00,ABPL90134,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-117,Thursday,09:00,10:00,ABPL90134,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-137,Thursday,09:00,10:00,ABPL90134,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-226,Thursday,09:00,10:00,ABPL90134,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-448,Thursday,11:00,12:00,ABPL90146,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-124,Thursday,11:00,12:00,ABPL90146,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-140,Thursday,12:00,13:00,ABPL90146,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-142,Monday,09:00,12:00,ABPL90147,False
Baldwin Spencer,PAR-Baldwin Spencer-109 (English Room),Monday,09:00,12:00,ABPL90149,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-240,Monday,12:00,14:00,ABPL90236,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-125,Monday,12:00,14:00,ABPL90236,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-215,Monday,12:00,14:00,ABPL90236,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-216,Monday,12:00,14:00,ABPL90236,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-228,Monday,12:00,14:00,ABPL90236,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-238,Monday,12:00,14:00,ABPL90236,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-124,Wednesday,11:00,12:00,ABPL90246,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-314,Wednesday,12:00,13:00,ABPL90246,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-244,Wednesday,13:00,14:00,ABPL90246,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-137,Wednesday,13:00,14:00,ABPL90246,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-244,Wednesday,14:15,15:15,ABPL90246,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-146,Wednesday,14:15,15:15,ABPL90246,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-228,Wednesday,15:15,16:15,ABPL90246,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-228,Wednesday,16:15,17:15,ABPL90246,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-138,Wednesday,16:15,17:15,ABPL90246,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-244,Wednesday,17:15,18:15,ABPL90246,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-226,Wednesday,18:15,19:15,ABPL90246,False
David Caro,PAR-David Caro-Podium 208,Wednesday,18:15,19:15,ABPL90246,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-213,Wednesday,18:15,19:15,ABPL90246,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-448,Wednesday,19:15,20:15,ABPL90246,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-226,Wednesday,19:15,20:15,ABPL90246,True
McCoy,PAR-McCoy-209 (Skeats Lab),Friday,09:00,11:00,ABPL90263,False
McCoy,PAR-McCoy-209 (Skeats Lab),Friday,11:00,12:00,ABPL90263,False
